AktID,ArtID,LatArt
791020,4423,Plantago lanceolata
791020,4976,Rosa canina
791020,5148,Rumex acetosa
791020,5156,Rumex acetosella
791020,5603,Jacobaea vulgaris
791020,5946,Succisa pratensis
791020,6441,Trifolium pratense
791020,6446,Trifolium repens
791020,6633,Veronica chamaedrys
791020,6676,Vicia cracca
791020,6683,Vicia hirsuta
791020,6697,Vicia sativa subsp. nigra
791020,7682,Pseudoscleropodium purum
791020,24113,Cladonia
791020,32838,Achillea millefolium
791379,116,Agrostis capillaris
791379,435,Anthriscus sylvestris
791379,1925,Dactylis glomerata
791379,2585,Festuca ovina
791379,3054,Hieracium umbellatum
791379,3162,Hypericum perforatum
791379,3300,Knautia arvensis
791379,3580,Lotus corniculatus
791379,4359,Pilosella officinarum
791379,4423,Plantago lanceolata
791379,5148,Rumex acetosa
791379,5157,Rumex acetosella subsp. acetosella
791379,5917,Stellaria graminea
791379,6633,Veronica chamaedrys
791379,6676,Vicia cracca
791379,7180,Bryopsida
791394,116,Agrostis capillaris
791394,429,Anthoxanthum odoratum
791394,1925,Dactylis glomerata
791394,2591,Festuca rubra
791394,2704,Galium saxatile
791394,3162,Hypericum perforatum
791394,3168,Hypochaeris radicata
791394,3381,Lathyrus linifolius
791394,4359,Pilosella officinarum
791394,4423,Plantago lanceolata
791394,4673,Potentilla erecta
791394,5148,Rumex acetosa
791394,5157,Rumex acetosella subsp. acetosella
791394,5917,Stellaria graminea
791394,6446,Trifolium repens
791394,7180,Bryopsida
791394,32838,Achillea millefolium
814476,359,Anchusa officinalis
814476,429,Anthoxanthum odoratum
814476,764,Bellis perennis
814476,1470,Cerastium semidecandrum
814476,2591,Festuca rubra
814476,2717,Galium verum
814476,3168,Hypochaeris radicata
814476,4423,Plantago lanceolata
814476,4483,Poa pratensis
814476,4664,Potentilla argentea
814476,4692,Potentilla reptans
814476,6224,Taraxacum sect. Taraxacum
814476,6418,Trifolium campestre
814476,6451,Trifolium striatum
814476,6683,Vicia hirsuta
814476,6697,Vicia sativa subsp. nigra
814476,32838,Achillea millefolium
821471,437,Anthyllis vulneraria
821471,557,Arrhenatherum elatius
821471,868,Briza media
821471,942,Calamagrostis epigejos
821471,1342,Carlina vulgaris
821471,1416,Centaurea scabiosa
821471,1421,Centaurium erythraea
821471,1925,Dactylis glomerata
821471,2001,Daucus carota subsp. carota
821471,2195,Echium vulgare
821471,2370,Equisetum arvense
821471,2542,Euphrasia stricta var. stricta
821471,2591,Festuca rubra
821471,3156,Hypericum maculatum
821471,3520,Linum catharticum
821471,3580,Lotus corniculatus
821471,3736,Medicago lupulina
821471,4011,Odontites vulgaris
821471,4193,Pastinaca sativa
821471,4292,Phleum pratense subsp. nodosum
821471,4359,Pilosella officinarum
821471,4423,Plantago lanceolata
821471,4475,Poa compressa
